order_id,customer_id,order_date,status,total_amount
ord_092,cust_0885,2024-08-27,delivered,475.98
ord_093,cust_0670,2024-12-10,delivered,250.69
ord_094,cust_0413,2024-02-01,processing,318.94
ord_095,cust_0255,2024-02-25,shipped,227.98
ord_096,cust_0550,2024-04-07,returned,357.0
ord_097,cust_0433,2024-03-12,shipped,629.86
ord_098,cust_0474,2024-05-22,shipped,603.96
ord_099,cust_0454,2024-02-08,cancelled,387.96
ord_100,cust_0052,2024-02-20,cancelled,1414.92
ord_101,cust_0993,2024-01-08,delivered,124.95
ord_102,cust_0171,2024-05-01,returned,312.0
ord_103,cust_0493,2024-09-05,shipped,330.02
ord_104,cust_0925,2024-07-24,delivered,700.18
ord_105,cust_0389,2024-03-25,delivered,830.45
ord_106,cust_0272,2024-07-18,returned,177.98
ord_107,cust_0434,2024-05-26,cancelled,427.95
ord_108,cust_0736,2024-12-04,returned,119.0
ord_109,cust_0195,2024-03-20,processing,1163.97
ord_110,cust_0992,2024-04-21,delivered,12.5
ord_111,cust_0754,2024-10-23,cancelled,489.98
ord_112,cust_0766,2024-02-01,processing,270.09
ord_113,cust_0052,2024-01-30,cancelled,225.0
ord_114,cust_0515,2024-09-01,cancelled,458.93
ord_115,cust_0059,2024-03-21,cancelled,1408.45
ord_116,cust_0872,2024-02-11,shipped,530.52
ord_117,cust_0610,2024-02-05,delivered,417.39
ord_118,cust_0883,2024-12-11,shipped,827.94
ord_119,cust_0123,2024-07-25,cancelled,188.98
ord_120,cust_0593,2024-05-06,cancelled,79.96
ord_121,cust_0635,2024-01-21,delivered,750.76
ord_122,cust_0674,2024-08-02,cancelled,99.93
ord_123,cust_0536,2024-10-16,processing,664.97
ord_124,cust_0210,2024-05-13,processing,429.95
ord_125,cust_0272,2024-05-02,returned,179.97
ord_126,cust_0688,2024-03-08,processing,110.0
ord_127,cust_0324,2024-08-22,delivered,489.91
ord_128,cust_0470,2024-01-05,cancelled,278.04
ord_129,cust_0103,2024-10-15,delivered,606.45
ord_130,cust_0219,2024-10-02,cancelled,477.53
ord_131,cust_0136,2024-05-15,processing,874.48
ord_132,cust_0901,2024-02-05,shipped,99.96
ord_133,cust_0292,2024-07-08,shipped,12.5
ord_134,cust_0854,2024-08-12,cancelled,454.99
ord_135,cust_0310,2024-12-26,cancelled,495.15
ord_136,cust_0542,2024-11-30,delivered,283.0
ord_137,cust_0837,2024-12-07,cancelled,117.95
ord_138,cust_0955,2024-06-02,delivered,119.98
ord_139,cust_0271,2024-03-09,delivered,250.98
ord_140,cust_0761,2024-02-24,cancelled,353.76
ord_141,cust_0279,2024-03-20,processing,265.92
ord_142,cust_0216,2024-11-05,processing,150.0
ord_143,cust_0704,2024-04-14,processing,177.98
ord_144,cust_0501,2024-09-15,processing,87.45
ord_145,cust_0095,2024-01-27,returned,846.03
ord_146,cust_0046,2024-05-21,delivered,1137.94
ord_147,cust_0790,2024-06-19,shipped,99.95
ord_148,cust_0269,2024-11-22,shipped,249.95
ord_149,cust_0565,2024-08-14,returned,498.0
ord_150,cust_0010,2024-10-14,delivered,525.98
ord_151,cust_0968,2024-02-08,shipped,925.99
ord_152,cust_0037,2024-10-06,processing,357.72
ord_153,cust_0566,2024-10-25,shipped,574.94
ord_154,cust_0131,2024-08-08,delivered,282.73
ord_155,cust_0374,2024-06-06,delivered,133.96
ord_156,cust_0216,2024-07-02,shipped,36.0
ord_157,cust_0106,2024-12-07,processing,299.9
ord_158,cust_0906,2024-10-13,returned,942.18
ord_159,cust_0768,2024-11-13,shipped,401.8
ord_160,cust_0886,2024-05-01,shipped,139.98
ord_161,cust_0903,2024-03-31,returned,279.0
ord_162,cust_0184,2024-01-13,processing,249.92
ord_163,cust_0822,2024-07-29,shipped,435.8
ord_164,cust_0164,2024-05-16,delivered,510.94
ord_165,cust_0894,2024-07-14,delivered,129.96
ord_166,cust_0228,2024-08-28,shipped,271.96
ord_167,cust_0359,2024-08-23,processing,626.48
ord_168,cust_0229,2024-04-26,delivered,30.76
ord_169,cust_0198,2024-12-03,returned,591.95
ord_170,cust_0286,2024-06-17,delivered,780.96
ord_171,cust_0360,2024-05-22,cancelled,59.97
ord_172,cust_0696,2024-07-23,cancelled,396.03
ord_173,cust_0962,2024-06-18,delivered,521.45
ord_174,cust_0899,2024-02-29,processing,204.95
ord_175,cust_0595,2024-04-01,processing,639.0
ord_176,cust_0112,2024-01-20,cancelled,776.28
ord_177,cust_0354,2024-08-10,processing,564.27
ord_178,cust_0621,2024-08-11,cancelled,174.78
ord_179,cust_0395,2024-02-29,cancelled,268.02
ord_180,cust_0261,2024-04-07,delivered,159.96
ord_181,cust_0447,2024-12-28,delivered,12.5
ord_182,cust_0948,2024-09-23,cancelled,167.96
ord_183,cust_0737,2024-12-17,shipped,123.99
ord_184,cust_0442,2024-07-05,delivered,37.5
ord_185,cust_0943,2024-12-06,processing,505.96
ord_186,cust_0322,2024-11-15,delivered,284.98
ord_187,cust_0520,2024-06-02,processing,723.49
ord_188,cust_0419,2024-12-07,processing,712.96
ord_189,cust_0714,2024-07-25,processing,249.95
ord_190,cust_0131,2024-10-10,shipped,92.28
ord_191,cust_0681,2024-08-03,returned,174.96
ord_192,cust_0767,2024-12-12,shipped,90.0
ord_193,cust_0583,2024-11-11,processing,387.96
ord_194,cust_0562,2024-07-26,delivered,89.0
ord_195,cust_0294,2024-06-04,shipped,39.96
ord_196,cust_0805,2024-08-08,cancelled,168.06
ord_197,cust_0671,2024-11-06,processing,324.96
ord_198,cust_0453,2024-08-26,returned,555.0
ord_199,cust_0219,2024-12-11,cancelled,90.0
ord_200,cust_0813,2024-08-30,shipped,376.52
ord_201,cust_0087,2024-12-03,processing,610.1
ord_202,cust_0680,2024-09-20,cancelled,135.98
ord_203,cust_0096,2024-06-20,shipped,415.0
ord_204,cust_0318,2024-12-10,shipped,84.97
ord_205,cust_0151,2024-04-11,delivered,117.98
ord_206,cust_0251,2024-01-24,returned,289.5
ord_207,cust_0871,2024-11-08,delivered,89.0
ord_208,cust_0425,2024-08-21,cancelled,541.44
ord_209,cust_0736,2024-04-09,returned,356.0
ord_210,cust_0410,2024-09-10,shipped,312.0
ord_211,cust_0672,2024-03-16,delivered,491.25
ord_212,cust_0798,2024-02-24,returned,119.97
ord_213,cust_0181,2024-04-22,cancelled,816.99
ord_214,cust_0052,2024-08-25,cancelled,234.0
ord_215,cust_0940,2024-05-07,delivered,405.95
ord_216,cust_0137,2024-08-21,returned,398.72
ord_217,cust_0544,2024-12-07,cancelled,333.99
ord_218,cust_0325,2024-10-31,returned,410.0
ord_219,cust_0835,2024-11-09,cancelled,583.97
ord_220,cust_0851,2024-08-06,cancelled,312.0
ord_221,cust_0919,2024-08-16,shipped,90.0
ord_222,cust_0461,2024-08-31,processing,62.5
ord_223,cust_0861,2024-05-06,processing,784.62
ord_224,cust_0497,2024-09-23,shipped,227.48
ord_225,cust_0451,2024-05-20,delivered,539.94
ord_226,cust_0293,2024-12-31,shipped,165.0
ord_227,cust_0344,2024-05-19,processing,54.0
ord_228,cust_0083,2024-10-03,shipped,373.5
ord_229,cust_0237,2024-03-18,returned,748.95
ord_230,cust_0157,2024-12-21,shipped,385.93
ord_231,cust_0425,2024-02-02,returned,628.93
ord_232,cust_0556,2024-06-18,returned,178.0
ord_233,cust_0064,2024-07-31,shipped,234.0
ord_234,cust_0399,2024-08-03,cancelled,476.95
ord_235,cust_0021,2024-12-22,cancelled,180.0
ord_236,cust_0489,2024-07-13,delivered,49.95
ord_237,cust_0306,2024-06-29,returned,513.42
ord_238,cust_0552,2024-08-02,cancelled,286.98
ord_239,cust_0920,2024-11-04,shipped,297.95
ord_240,cust_0225,2024-09-06,processing,224.9
ord_241,cust_0498,2024-08-11,delivered,869.96
ord_242,cust_0345,2024-07-18,returned,339.95
ord_243,cust_0861,2024-03-25,returned,581.09
ord_244,cust_0638,2024-03-06,cancelled,117.0
ord_245,cust_0929,2024-01-14,returned,680.01
ord_246,cust_0578,2024-10-30,delivered,661.96
ord_247,cust_0659,2024-02-12,returned,199.95
ord_248,cust_0888,2024-03-10,returned,313.0
ord_249,cust_0052,2024-04-03,processing,267.0
ord_250,cust_0336,2024-07-13,shipped,711.5
ord_251,cust_0335,2024-08-20,processing,438.5
ord_252,cust_0285,2024-07-13,returned,934.47
ord_253,cust_0855,2024-05-09,delivered,501.47
ord_254,cust_0020,2024-08-28,cancelled,699.25
ord_255,cust_0975,2024-01-27,processing,542.57
ord_256,cust_0666,2024-04-24,delivered,1080.07
ord_257,cust_0042,2024-11-29,delivered,302.04
ord_258,cust_0205,2024-05-06,delivered,174.96
ord_259,cust_0157,2024-11-14,shipped,1262.6
ord_260,cust_0485,2024-03-05,delivered,158.96
ord_261,cust_0971,2024-10-15,shipped,718.96
ord_262,cust_0717,2024-08-26,processing,295.97
ord_263,cust_0172,2024-07-07,cancelled,387.95
ord_264,cust_0987,2024-11-06,delivered,412.0
ord_265,cust_0988,2024-03-24,processing,199.95
ord_266,cust_0593,2024-02-25,delivered,339.95
ord_267,cust_0590,2024-06-08,returned,250.0
ord_268,cust_0965,2024-07-22,shipped,66.76
ord_269,cust_0607,2024-02-08,shipped,383.71
ord_270,cust_0714,2024-02-22,processing,219.93
ord_271,cust_0615,2024-12-16,delivered,626.19
ord_272,cust_0802,2024-10-16,delivered,331.99
ord_273,cust_0546,2024-06-26,returned,39.99
ord_274,cust_0380,2024-12-04,delivered,435.94
ord_275,cust_0664,2024-09-16,processing,806.24
ord_276,cust_0870,2024-01-07,returned,333.95
ord_277,cust_0109,2024-09-07,returned,698.59
ord_278,cust_0651,2024-07-04,returned,709.76
ord_279,cust_0157,2024-12-28,returned,535.0
ord_280,cust_0752,2024-03-31,cancelled,476.05
ord_281,cust_0277,2024-11-29,cancelled,802.95
ord_282,cust_0794,2024-10-02,returned,282.0
ord_283,cust_0447,2024-08-26,cancelled,519.95
ord_284,cust_0331,2024-05-17,shipped,864.95
ord_285,cust_0286,2024-02-14,returned,99.96
ord_286,cust_0769,2024-05-04,returned,74.97
ord_287,cust_0625,2024-10-18,returned,403.96
ord_288,cust_0030,2024-06-21,returned,449.98
ord_289,cust_0187,2024-06-15,returned,327.74
ord_290,cust_0364,2024-04-18,processing,59.99
ord_291,cust_0287,2024-06-23,cancelled,456.9
ord_292,cust_0902,2024-12-25,processing,179.97
ord_293,cust_0011,2024-10-11,cancelled,498.49
ord_294,cust_0088,2024-04-07,shipped,860.02
ord_295,cust_0501,2024-07-27,cancelled,660.0
ord_296,cust_0708,2024-05-03,returned,331.96
ord_297,cust_0729,2024-11-26,returned,1018.5
ord_298,cust_0812,2024-08-17,delivered,711.49
ord_299,cust_0302,2024-02-17,shipped,251.0
ord_300,cust_0709,2024-07-26,shipped,59.97
ord_301,cust_0680,2024-06-05,cancelled,928.45
ord_302,cust_0485,2024-07-07,cancelled,1015.0
ord_303,cust_0353,2024-09-28,returned,258.98
ord_304,cust_0339,2024-10-08,processing,594.95
ord_305,cust_0465,2024-12-25,processing,149.97
ord_306,cust_0258,2024-06-05,shipped,488.9
ord_307,cust_0739,2024-03-02,shipped,1052.0
ord_308,cust_0123,2024-06-10,cancelled,473.46
ord_309,cust_0190,2024-12-19,shipped,119.98
ord_310,cust_0757,2024-04-20,returned,319.0
ord_311,cust_0742,2024-05-21,cancelled,676.8
ord_312,cust_0612,2024-09-25,processing,334.92
ord_313,cust_0853,2024-02-21,shipped,267.0
ord_314,cust_0233,2024-05-31,processing,123.04
ord_315,cust_0310,2024-04-01,delivered,826.0
ord_316,cust_0547,2024-12-28,shipped,420.15
ord_317,cust_0047,2024-05-20,delivered,393.48
ord_318,cust_0300,2024-10-10,shipped,234.99
ord_319,cust_0890,2024-11-22,returned,449.88
ord_320,cust_0894,2024-02-22,delivered,79.98
ord_321,cust_0292,2024-10-20,returned,676.5
ord_322,cust_0452,2024-09-02,processing,49.99
ord_323,cust_0989,2024-04-04,delivered,37.5
ord_324,cust_0964,2024-05-09,returned,68.0
ord_325,cust_0842,2024-02-28,delivered,324.88
ord_326,cust_0504,2024-07-24,delivered,179.0
ord_327,cust_0645,2024-10-22,delivered,728.47
ord_328,cust_0153,2024-03-18,cancelled,646.95
ord_329,cust_0088,2024-06-04,shipped,135.98
ord_330,cust_0572,2024-03-01,returned,671.11
ord_331,cust_0611,2024-11-06,cancelled,587.91
ord_332,cust_0795,2024-04-25,cancelled,593.04
ord_333,cust_0462,2024-07-13,returned,565.96
ord_334,cust_0881,2024-06-01,cancelled,344.95
ord_335,cust_0313,2024-08-07,cancelled,39.96
ord_336,cust_0062,2024-11-13,cancelled,279.91
ord_337,cust_0971,2024-02-20,shipped,312.46
ord_338,cust_0217,2024-11-16,processing,636.96
ord_339,cust_0084,2024-12-04,shipped,89.0
ord_340,cust_0178,2024-05-02,cancelled,568.0
ord_341,cust_0161,2024-02-08,delivered,866.49
ord_342,cust_0462,2024-07-28,cancelled,1000.91
ord_343,cust_0299,2024-08-28,delivered,511.45
ord_344,cust_0296,2024-04-28,processing,565.12
ord_345,cust_0881,2024-12-25,returned,594.45
ord_346,cust_0704,2024-02-06,shipped,635.5
ord_347,cust_0807,2024-05-15,cancelled,993.52
ord_348,cust_0824,2024-12-04,shipped,135.0
ord_349,cust_0118,2024-08-05,cancelled,893.98
ord_350,cust_0664,2024-04-25,shipped,764.73
ord_351,cust_0847,2024-05-16,shipped,419.88
ord_352,cust_0062,2024-02-06,shipped,564.0
ord_353,cust_0610,2024-06-06,cancelled,172.45
ord_354,cust_0450,2024-05-27,delivered,769.5
ord_355,cust_0706,2024-08-27,processing,649.94
ord_356,cust_0413,2024-12-24,processing,445.15
ord_357,cust_0553,2024-09-13,returned,487.48
ord_358,cust_0083,2024-08-12,cancelled,336.12
ord_359,cust_0911,2024-01-21,returned,293.0
ord_360,cust_0619,2024-06-14,processing,849.44
ord_361,cust_0094,2024-01-14,shipped,553.0
ord_362,cust_0857,2024-12-11,cancelled,546.0
ord_363,cust_0974,2024-10-27,delivered,157.45
ord_364,cust_0842,2024-12-10,processing,502.96
ord_365,cust_0042,2024-10-22,shipped,950.05
ord_366,cust_0532,2024-08-28,returned,203.97
ord_367,cust_0186,2024-05-22,cancelled,722.46
ord_368,cust_0651,2024-08-11,returned,836.06
ord_369,cust_0482,2024-02-16,processing,299.91
ord_370,cust_0342,2024-07-28,processing,416.44
ord_371,cust_0108,2024-12-09,shipped,376.09
ord_372,cust_0422,2024-06-17,returned,637.04
ord_373,cust_0679,2024-05-27,returned,341.8
ord_374,cust_0038,2024-10-08,returned,664.98
ord_375,cust_0323,2024-02-15,processing,159.96
ord_376,cust_0119,2024-06-14,returned,749.03
ord_377,cust_0845,2024-09-20,delivered,240.5
ord_378,cust_0891,2024-12-02,cancelled,378.02
ord_379,cust_0424,2024-08-24,delivered,159.96
ord_380,cust_0531,2024-04-06,processing,61.52
ord_381,cust_0775,2024-11-14,returned,893.54
ord_382,cust_0453,2024-11-16,delivered,470.48
ord_383,cust_0274,2024-04-14,cancelled,573.5
ord_384,cust_0950,2024-03-08,processing,566.0
ord_385,cust_0902,2024-08-12,returned,925.02
ord_386,cust_0030,2024-03-03,cancelled,403.74
ord_387,cust_0727,2024-05-02,shipped,619.26
ord_388,cust_0565,2024-06-08,delivered,159.03
ord_389,cust_0418,2024-10-09,delivered,39.98
ord_390,cust_0862,2024-04-25,delivered,420.15
ord_391,cust_0970,2024-08-24,delivered,153.8
ord_392,cust_0853,2024-11-27,shipped,19.99
ord_393,cust_0956,2024-09-12,processing,470.49
ord_394,cust_0723,2024-09-17,processing,100.0
ord_395,cust_0855,2024-07-31,returned,584.93
ord_396,cust_0250,2024-08-29,returned,822.99
ord_397,cust_0149,2024-10-09,returned,695.41
ord_398,cust_0944,2024-04-07,cancelled,309.96
ord_399,cust_0765,2024-09-17,shipped,863.5
ord_400,cust_0283,2024-02-05,returned,149.96
ord_401,cust_0957,2024-06-23,cancelled,467.0
ord_402,cust_0841,2024-05-16,delivered,199.96
ord_403,cust_0744,2024-05-24,processing,156.0
ord_404,cust_0594,2024-10-27,returned,391.97
ord_405,cust_0458,2024-03-17,cancelled,119.98
ord_406,cust_0354,2024-09-04,processing,188.0
ord_407,cust_0782,2024-10-09,cancelled,214.98
ord_408,cust_0467,2024-07-12,processing,294.93
ord_409,cust_0715,2024-04-06,shipped,472.72
ord_410,cust_0393,2024-10-19,shipped,150.0
ord_411,cust_0045,2024-07-29,processing,338.95
ord_412,cust_0723,2024-08-30,returned,304.91
ord_413,cust_0680,2024-07-16,shipped,1114.46
ord_414,cust_0988,2024-09-10,delivered,633.0
ord_415,cust_0515,2024-03-05,cancelled,39.99
ord_416,cust_0891,2024-06-18,delivered,89.5
ord_417,cust_0103,2024-08-13,cancelled,593.94
ord_418,cust_0016,2024-08-21,shipped,613.5
ord_419,cust_0892,2024-07-28,shipped,275.0
ord_420,cust_0481,2024-02-08,processing,584.91
ord_421,cust_0639,2024-06-22,returned,1022.6
ord_422,cust_0083,2024-11-28,processing,339.99
ord_423,cust_0880,2024-12-11,cancelled,474.97
ord_424,cust_0978,2024-07-13,processing,630.93
ord_425,cust_0736,2024-11-16,returned,1239.05
ord_426,cust_0037,2024-10-04,cancelled,737.99
ord_427,cust_0241,2024-02-05,processing,149.97
ord_428,cust_0765,2024-04-26,delivered,847.4
ord_429,cust_0101,2024-08-10,delivered,484.98
ord_430,cust_0171,2024-08-15,processing,30.0
ord_431,cust_0048,2024-01-15,processing,339.95
ord_432,cust_0301,2024-01-29,processing,680.95
ord_433,cust_0442,2024-07-10,shipped,489.98
ord_434,cust_0544,2024-05-05,returned,234.0
ord_435,cust_0699,2024-10-16,shipped,124.95
ord_436,cust_0180,2024-03-28,delivered,326.28
ord_437,cust_0892,2024-11-08,returned,384.06
ord_438,cust_0700,2024-11-13,shipped,463.03
ord_439,cust_0935,2024-09-11,cancelled,89.94
ord_440,cust_0238,2024-03-14,returned,560.5
ord_441,cust_0261,2024-11-22,returned,296.97
ord_442,cust_0683,2024-05-10,delivered,826.92
ord_443,cust_0923,2024-08-26,processing,135.0
ord_444,cust_0560,2024-12-12,shipped,506.0
ord_445,cust_0453,2024-02-07,processing,325.02
ord_446,cust_0307,2024-10-27,returned,434.28
ord_447,cust_0257,2024-12-19,returned,816.0
ord_448,cust_0204,2024-06-03,returned,336.92
ord_449,cust_0110,2024-09-04,shipped,795.07
ord_450,cust_0586,2024-07-14,processing,116.52
ord_451,cust_0303,2024-10-21,processing,396.96
ord_452,cust_0850,2024-01-12,returned,372.0
ord_453,cust_0009,2024-05-20,cancelled,668.5
ord_454,cust_0797,2024-12-17,delivered,168.06
ord_455,cust_0764,2024-11-06,returned,1144.97
ord_456,cust_0795,2024-05-26,shipped,636.02
ord_457,cust_0822,2024-11-06,processing,192.24
ord_458,cust_0652,2024-04-22,shipped,139.0
ord_459,cust_0257,2024-11-13,shipped,318.06
ord_460,cust_0100,2024-11-17,delivered,401.48
ord_461,cust_0808,2024-06-07,returned,123.04
ord_462,cust_0594,2024-01-18,processing,473.47
ord_463,cust_0093,2024-03-08,processing,249.0
ord_464,cust_0766,2024-06-16,returned,449.95
ord_465,cust_0206,2024-03-30,shipped,634.49
ord_466,cust_0898,2024-10-03,processing,213.8
ord_467,cust_0514,2024-09-28,processing,119.98
ord_468,cust_0264,2024-03-25,returned,1183.65
ord_469,cust_0765,2024-05-31,processing,962.05
ord_470,cust_0480,2024-02-28,delivered,156.5
ord_471,cust_0773,2024-03-13,shipped,265.95
ord_472,cust_0742,2024-12-12,returned,267.0
ord_473,cust_0375,2024-10-12,delivered,59.97
ord_474,cust_0015,2024-07-21,processing,373.5
ord_475,cust_0127,2024-10-01,returned,234.96
ord_476,cust_0689,2024-07-07,processing,80.0
ord_477,cust_0391,2024-10-26,processing,680.0
ord_478,cust_0692,2024-02-25,shipped,622.26
ord_479,cust_0026,2024-08-29,cancelled,514.96
ord_480,cust_0336,2024-10-14,cancelled,698.0
ord_481,cust_0664,2024-04-23,delivered,59.97
ord_482,cust_0844,2024-11-21,returned,99.98
ord_483,cust_0310,2024-12-24,returned,823.0
ord_484,cust_0144,2024-02-29,delivered,12.5
ord_485,cust_0312,2024-01-20,returned,373.8
ord_486,cust_0100,2024-02-29,shipped,74.97
ord_487,cust_0139,2024-10-02,returned,92.28
ord_488,cust_0380,2024-08-20,cancelled,780.01
ord_489,cust_0602,2024-08-02,shipped,872.5
ord_490,cust_0671,2024-07-31,delivered,672.5
ord_491,cust_0631,2024-09-07,returned,493.47
ord_492,cust_0034,2024-05-23,processing,664.49
ord_493,cust_0455,2024-04-21,returned,445.0
ord_494,cust_0876,2024-04-30,processing,544.96
ord_495,cust_0703,2024-02-20,processing,402.76
ord_496,cust_0924,2024-10-05,processing,474.5
ord_497,cust_0408,2024-02-01,processing,92.28
ord_498,cust_0992,2024-04-07,delivered,220.0
ord_499,cust_0094,2024-08-20,shipped,312.0
ord_500,cust_0655,2024-11-24,cancelled,749.97
